name,hex,basic name
100 Mph,#c93f38,Light Muted Red
18th Century Green,#a59344,Muted Yellow
1975 Earth Red,#7b463b,Muted Red
1989 Miami Hotline,#dd3366,Bright Rose
20000 Leagues Under the Sea,#191970,Deep Blue
24 Carrot,#e56e24,Bright Orange
24 Karat,#dfc685,Light Muted Amber-Orange
3AM in Shibuya,#225577,Muted Turquoise
3am Latte,#c0a98e,Light Gray Amber-Orange
400XT Film,#d2d2c0,Light Gray Yellow
5-Masted Preußen,#9bafad,Gray Teal
8 Bit Eggplant,#990066,Deep Pink
90% Cocoa,#3d1c02,Dark Orange
99 Years Blue,#000099,Deep Blue
A Brand New Day,#ffaabb,Bright Rose
A Certain Shade Of Green,#d1edee,Light Gray Cyan
A Dime a Dozen,#d3dde4,Light Gray Turquoise
À L’Orange,#f2850d,Bright Orange
A La Mode,#f6ecde,Light Gray Orange
A Lot of Love,#ffbcc5,Bright Rose
A Mann’s Mint,#bcddb3,Light Gray Green-Yellow
A Pair of Brown Eyes,#bfaf92,Light Gray Amber-Orange
A Smell of Bakery,#f3e9d9,Light Gray Amber-Orange
A State of Mint,#88ffcc,Bright Teal
Aare River,#00b89f,Bright Teal
Aare River Brienz,#05a3ad,Deep Cyan
Aarhusian Sky,#1150af,Deep Blue
Abaddon Black,#231f20,Dark Gray Red
Abaidh White,#f2f1e6,Light Gray Yellow
Abalone,#f8f3f6,Light Gray Pink
Abalone Shell,#e1ded9,Light Gray Amber-Orange
Abandoned Mansion,#94877e,Gray Orange
Abandoned Playground,#746e6a,Gray Orange
Abandoned Spaceship,#747a8a,Gray Blue
Abbey,#4c4f56,Dark Gray Blue
Abbey Pink,#cd716b,Light Muted Red
Abbey Road,#a79f92,Gray Amber-Orange
Abbey Stone,#aba798,Gray Yellow
Abbey White,#ece6d0,Light Gray Yellow
Abbot,#4d3c2d,Dark Muted Orange
Abduction,#166461,Deep Teal
Âbi Blue,#5ba8ff,Bright Turquoise
Abilene Lace,#eae3d2,Light Gray Amber-Orange
Ablaze,#c04641,Light Muted Red
Abloom,#f1cbcd,Light Gray Red
Abomination,#77aa77,Gray Green
Abra Cadabra,#966165,Gray Red
Abra Goldenrod,#eec400,Bright Yellow
Absence of Light,#15151c,Dark Gray Blue
Absinthe Green,#76b583,Light Gray Green
Absinthe Turquoise,#008a60,Deep Teal
Absolute Apricot,#ff9944,Bright Orange
Absolute Zero,#0048ba,Bright Blue
Abstract,#e4cb97,Light Muted Amber-Orange
Abstract White,#ede9dd,Light Gray Amber-Orange
Abundance,#629763,Gray Green
Abura Green,#a19361,Gray Amber-Orange
Abyss,#8f9e9d,Gray Cyan
Abyssal,#404c57,Dark Gray Turquoise
